price,year,condition,cylinders,fuel,odometer,transmission,size,type
2000,2010,good,4 cylinders,gas,75000,automatic,mid-size,sedan
22879,2017,excellent,4 cylinders,gas,51086,automatic,full-size,wagon
2995,2004,good,4 cylinders,gas,185,manual,compact,hatchback
11995,2016,excellent,6 cylinders,gas,97234,automatic,mid-size,sedan
9400,2015,good,4 cylinders,gas,86859,automatic,mid-size,wagon
3900,2007,excellent,4 cylinders,gas,184,automatic,full-size,sedan
1995,2014,good,6 cylinders,gas,57189,automatic,compact,coupe
3000,2009,good,4 cylinders,gas,80497,manual,mid-size,sedan
16450,2015,like new,4 cylinders,diesel,15367,automatic,mid-size,sedan
3000,2013,good,6 cylinders,gas,96091,automatic,full-size,sedan
8950,2013,excellent,4 cylinders,diesel,38993,automatic,mid-size,sedan
12200,2015,like new,4 cylinders,gas,68000,automatic,mid-size,sedan
12500,2016,good,4 cylinders,gas,60000,automatic,full-size,sedan
6995,2007,excellent,6 cylinders,gas,79305,automatic,mid-size,sedan
3200,2004,fair,6 cylinders,gas,50564,automatic,full-size,coupe
2500,2017,good,4 cylinders,gas,4220,automatic,compact,sedan
1500,2015,good,4 cylinders,gas,45254,automatic,full-size,sedan
3000,2018,good,4 cylinders,gas,46347,automatic,full-size,sedan
2000,2018,good,4 cylinders,gas,53294,automatic,mid-size,sedan
17495,2014,like new,6 cylinders,gas,95000,automatic,mid-size,coupe
7600,2014,good,4 cylinders,gas,78000,automatic,full-size,sedan
11250,2013,excellent,4 cylinders,gas,97000,automatic,mid-size,sedan
11995,2011,like new,6 cylinders,gas,88000,automatic,full-size,sedan
20495,2011,like new,4 cylinders,gas,43695,manual,full-size,sedan
12995,2014,like new,4 cylinders,gas,71099,manual,mid-size,hatchback
16495,2012,like new,4 cylinders,gas,76000,manual,full-size,sedan
8990,2010,excellent,6 cylinders,gas,91835,automatic,mid-size,sedan
14995,2012,like new,4 cylinders,gas,89000,manual,full-size,hatchback
1,2015,excellent,4 cylinders,gas,45289,automatic,compact,sedan
1,2012,excellent,6 cylinders,gas,66000,manual,mid-size,coupe
1,2015,excellent,6 cylinders,gas,45244,automatic,mid-size,coupe
1,2017,excellent,4 cylinders,gas,33934,automatic,mid-size,coupe
6999,2012,good,4 cylinders,gas,98593,automatic,mid-size,sedan
27500,2018,like new,6 cylinders,gas,865,automatic,mid-size,coupe
14800,2017,excellent,4 cylinders,gas,17,automatic,full-size,sedan
4550,2014,excellent,4 cylinders,gas,136,automatic,full-size,sedan
11000,2016,like new,4 cylinders,gas,52000,automatic,full-size,sedan
7999,2014,good,4 cylinders,gas,91456,automatic,mid-size,sedan
15350,2016,like new,4 cylinders,gas,46400,automatic,compact,sedan
8950,2006,excellent,4 cylinders,gas,85000,manual,sub-compact,coupe
5950,2014,excellent,4 cylinders,gas,85000,automatic,mid-size,sedan
795,2014,like new,4 cylinders,gas,64973,automatic,compact,sedan
11999,2015,excellent,4 cylinders,gas,70873,automatic,full-size,sedan
899,2019,like new,4 cylinders,gas,30721,automatic,mid-size,sedan
12999,2016,excellent,4 cylinders,gas,49454,automatic,mid-size,hatchback
899,2018,excellent,4 cylinders,gas,47318,automatic,compact,sedan
7950,2015,excellent,4 cylinders,gas,70000,automatic,mid-size,sedan
4700,2008,excellent,4 cylinders,gas,172,automatic,full-size,sedan
9700,2012,excellent,6 cylinders,gas,81600,automatic,compact,sedan
19700,2016,like new,6 cylinders,gas,30355,automatic,full-size,sedan
13442,2012,excellent,4 cylinders,diesel,89553,manual,compact,wagon
15733,2013,excellent,4 cylinders,diesel,29582,automatic,mid-size,sedan
14498,2017,like new,4 cylinders,gas,46938,automatic,mid-size,sedan
3900,2008,good,4 cylinders,gas,90000,automatic,mid-size,sedan
8600,2008,like new,4 cylinders,gas,91500,automatic,mid-size,sedan
5990,2008,excellent,4 cylinders,gas,73058,automatic,compact,coupe
9995,2013,good,4 cylinders,gas,98713,automatic,mid-size,sedan
6995,2009,good,4 cylinders,gas,74590,automatic,mid-size,sedan
14980,2017,excellent,4 cylinders,gas,68620,automatic,compact,sedan
6900,2015,excellent,4 cylinders,gas,70000,automatic,compact,sedan
22900,2017,like new,6 cylinders,gas,49555,automatic,full-size,sedan
4900,2014,excellent,4 cylinders,diesel,99000,automatic,compact,sedan
19500,2015,good,6 cylinders,gas,60900,automatic,mid-size,sedan
4500,2005,excellent,6 cylinders,gas,61500,automatic,full-size,sedan
16500,2018,excellent,4 cylinders,gas,10035,automatic,mid-size,sedan
13500,2016,good,4 cylinders,gas,34985,automatic,mid-size,sedan
12991,2012,excellent,6 cylinders,gas,77561,automatic,mid-size,sedan
15778,2014,excellent,6 cylinders,gas,58774,automatic,full-size,sedan
2995,2007,excellent,4 cylinders,gas,99439,automatic,full-size,sedan
5200,2014,good,4 cylinders,gas,61470,automatic,mid-size,sedan
7500,2013,good,6 cylinders,gas,209,automatic,mid-size,sedan
12500,2018,like new,4 cylinders,gas,38000,automatic,mid-size,sedan
250,2015,like new,4 cylinders,gas,75000,automatic,full-size,sedan
14680,2019,excellent,4 cylinders,gas,14164,automatic,compact,sedan
18695,2018,like new,4 cylinders,gas,92986,automatic,mid-size,wagon
17500,2011,like new,6 cylinders,gas,73000,manual,mid-size,sedan
9000,2010,excellent,4 cylinders,gas,86448,automatic,full-size,sedan
7000,2014,excellent,4 cylinders,gas,31488,automatic,compact,sedan
175,2018,new,4 cylinders,gas,11104,automatic,full-size,sedan
15700,2011,excellent,6 cylinders,gas,30800,automatic,compact,coupe
25900,2015,excellent,4 cylinders,gas,45108,automatic,full-size,sedan
5000,2009,excellent,4 cylinders,gas,42000,automatic,compact,wagon
15600,2017,like new,4 cylinders,gas,54400,automatic,full-size,sedan
6800,2013,excellent,4 cylinders,gas,93000,manual,mid-size,sedan
21000,2013,like new,4 cylinders,gas,43465,automatic,full-size,sedan
8680,2012,excellent,4 cylinders,gas,69330,automatic,compact,sedan
6995,2003,excellent,6 cylinders,gas,34631,automatic,full-size,sedan
6495,2004,excellent,6 cylinders,gas,72142,automatic,full-size,sedan
7995,2013,good,6 cylinders,gas,74545,automatic,mid-size,sedan
10999,2012,excellent,4 cylinders,gas,79808,automatic,sub-compact,sedan
5488,2007,excellent,6 cylinders,gas,99384,automatic,mid-size,sedan
5500,2008,good,4 cylinders,gas,99810,automatic,mid-size,sedan
175,2018,new,4 cylinders,gas,11104,automatic,full-size,sedan
175,2018,new,4 cylinders,gas,11104,automatic,full-size,sedan
175,2018,new,4 cylinders,gas,11104,automatic,full-size,sedan
175,2018,new,4 cylinders,gas,11104,automatic,full-size,sedan
175,2018,new,4 cylinders,gas,11104,automatic,full-size,sedan
175,2018,new,4 cylinders,gas,11104,automatic,full-size,sedan
19500,2019,like new,4 cylinders,gas,19750,automatic,compact,sedan
175,2018,new,4 cylinders,gas,11104,automatic,full-size,sedan
19977,2012,excellent,6 cylinders,gas,57530,automatic,sub-compact,coupe
175,2018,new,4 cylinders,gas,11104,automatic,full-size,sedan
125,2014,fair,4 cylinders,gas,125,automatic,compact,sedan
32358,2017,excellent,6 cylinders,gas,32358,automatic,compact,sedan
6500,2018,like new,4 cylinders,gas,24951,automatic,full-size,sedan
4950,2004,excellent,6 cylinders,gas,68000,automatic,mid-size,sedan
20988,2015,good,4 cylinders,gas,48171,automatic,compact,sedan
5600,2010,good,4 cylinders,gas,95500,automatic,full-size,sedan
